TriggerTimestamp [UTC Timestamp]	Carry [m]	BallSpeed [m/s]	LaunchDirection [deg]	LaunchAngle [deg]	SpinAxis [deg]	SpinRate [rpm]	MaxHeight [m]
2025-11-23T17:34:11.270670343Z	213,95	70,23	4,37	8,29	-5,19	3626,24	29,8
2025-11-23T17:34:52.430142921Z	239,88	74,63	2,77	10,49	-11,59	2698	28,44
2025-11-23T17:35:31.866187258Z	229,6	72,54	0,3	11,31	10,59	3515,85	38,12
2025-11-23T17:45:35.976188222Z	259,34	77,79	3,18	11,19	1,61	2012,09	31,56
2025-11-23T17:46:23.149521427Z	245,67	73,22	1,86	13,14	-3,7	2480,83	34,15
2025-11-23T17:47:33.775227837Z	250,71	77	1,03	11,32	-3,35	1933,64	30,72
2025-11-23T17:55:23.133966343Z	254,76	77,02	2,95	11,4	1,35	2917,14	35,69
2025-11-23T17:56:11.908530969Z	255,54	79,6	2,86	11,94	-4,83	2048,87	34,75
2025-11-23T18:04:16.310469090Z	246,82	76,85	1,89	9,33	-4,79	3294,29	32,89
2025-11-23T18:04:54.620174343Z	245,28	78,01	0,82	9,5	-11,35	3034,2	32,35
